accession,taxid,superkingdom,phylum,class,order,family,genus,species
NC_025596.1,58209,NA,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,Thraupis episcopus
NC_025595.1,3149680,NA,Chordata,Aves,Passeriformes,Fringillidae,Serinus,Serinus albogularis
NC_025594.1,2713617,NA,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus sibiricus
NC_025591.1,120494,NA,Chordata,Amphibia,Anura,Ranidae,Amolops,Amolops wuyiensis
NC_025590.1,1564186,NA,Chordata,Actinopteri,Cypriniformes,NA,NA,Ctenopharyngodon idellus x Elopichthys bambusa
NC_025589.1,62062,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Hucho,Hucho hucho
NC_025588.1,175429,NA,Chordata,Actinopteri,NA,Siganidae,Siganus,Siganus vulpinus
NC_025586.1,9483,NA,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus
NC_025585.1,1046110,NA,Chordata,Actinopteri,Siluriformes,Doradidae,Platydoras,Platydoras armatulus
NC_025584.1,163991,NA,Chordata,Actinopteri,Siluriformes,Loricariidae,Hypostomus,Hypostomus plecostomus
NC_025583.1,104630,NA,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Lethenteron,Lethenteron appendix
NC_025580.1,211598,NA,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus
NC_025579.1,8953,NA,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco columbarius
NC_025578.1,55142,NA,Chordata,Chondrichthyes,NA,Squatinidae,Squatina,Squatina nebulosa
NC_025576.1,107322,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Coregonus,Coregonus peled
NC_025575.1,143642,NA,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax cretensis
NC_025566.1,179359,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Alectis,Alectis ciliaris
NC_025563.1,72004,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus
NC_025562.1,887870,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Ageneiogarra,Ageneiogarra imberba
NC_025559.1,62282,NA,Chordata,Mammalia,Eulipotyphla,Soricidae,Neomys,Neomys fodiens
NC_025556.1,179808,NA,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus crassirostris
NC_025555.1,40191,NA,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis,Oreochromis esculentus
NC_025553.1,30308,NA,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon unicuspis
NC_025552.1,245073,NA,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon fossor
NC_025550.1,64677,NA,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus erythraeus
NC_025521.1,100826,NA,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax rusticola
NC_025519.1,48168,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus atlanticus
NC_025517.1,360510,NA,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Plectorhinchus,Plectorhinchus lineatus
NC_025515.1,80806,NA,Chordata,Actinopteri,Cypriniformes,Acheilognathidae,Tanakia,Tanakia limbata
NC_025514.1,261961,NA,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus cinereus
NC_025513.1,9542,NA,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fuscata
NC_025512.1,1213697,NA,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Narcine,Narcine entemedor
NC_025508.1,171406,NA,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio
NC_025507.1,2861860,NA,Chordata,Aves,Gruiformes,Rallidae,Hypotaenidia,Hypotaenidia philippensis
NC_025502.1,1294523,NA,Chordata,Aves,Gruiformes,Rallidae,Lewinia,Lewinia muelleri
NC_025501.1,1150654,NA,Chordata,Aves,Gruiformes,Rallidae,Eulabeornis,Eulabeornis castaneoventris
NC_025499.1,54369,NA,Chordata,Aves,Gruiformes,Heliornithidae,Heliornis,Heliornis fulica
NC_025498.1,1885022,NA,Chordata,Chondrichthyes,Rajiformes,Rajidae,Beringraja,Beringraja pulchra
NC_025494.1,227466,NA,Chordata,NA,Testudines,Trionychidae,Lissemys,Lissemys scutata
NC_025337.1,1055099,NA,Chordata,Actinopteri,NA,Sillaginidae,Sillago,Sillago asiatica
NC_025336.1,27715,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Rasbora,Rasbora trilineata
NC_025330.1,10030,NA,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus longicaudatus
NC_025328.1,495881,NA,Chordata,Chondrichthyes,NA,Squatinidae,Squatina,Squatina formosa
NC_025327.1,62287,NA,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex tundrensis
NC_025326.1,58327,NA,Chordata,Actinopteri,Cypriniformes,Acheilognathidae,Rhodeus,Rhodeus sericeus
NC_025321.1,341099,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Homatula,Homatula potanini
NC_025320.1,383861,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias vermiculata
